PolicyID,CustomerID,AgentID,InsuranceType,StartDate,EndDate,PremiumAmount,PaymentFrequency,CoverageAmount,PolicyStatus,DeductibleAmount,RiskLevel,UnderwritingScore,AutoRenewal,YearMonth
POL000000,CUS007998,AGT0103,Home,18-05-2024,18-05-2025,3051.12,Quarterly,444000,Active,15719.35,Medium,777,TRUE,2024-05
POL000001,CUS007114,AGT0004,Auto,30-04-2022,30-04-2023,301.84,Monthly,435000,Active,19946.33,Medium,427,TRUE,2022-04
POL000002,CUS000117,AGT0067,Auto,30-03-2020,30-03-2021,297.85,Quarterly,278000,Active,4846.13,Medium,372,FALSE,2020-03
POL000003,CUS006433,AGT0082,Auto,06-10-2021,06-10-2022,1327.67,Monthly,374000,Active,12787.39,Medium,360,TRUE,2021-10
POL000004,CUS005724,AGT0092,Travel,18-03-2023,17-03-2024,573.2,Quarterly,6000,Active,184.26,Low,708,TRUE,2023-03
POL000005,CUS009175,AGT0193,Life,12-08-2021,12-08-2022,230.26,Monthly,649000,Active,11190.13,Medium,400,FALSE,2021-08
POL000006,CUS008635,AGT0197,Health,14-02-2023,14-02-2024,9344.14,Annual,41000,Expired,549.59,Medium,490,TRUE,2023-02
POL000007,CUS005777,AGT0025,Life,11-08-2022,11-08-2023,680.68,Monthly,495000,Active,18494.76,Low,612,TRUE,2022-08
POL000008,CUS001871,AGT0191,Travel,04-10-2021,04-10-2022,3.94,Quarterly,11000,Active,474.43,Low,302,FALSE,2021-10
POL000009,CUS001627,AGT0121,Health,24-06-2020,24-06-2021,1673.39,Monthly,54000,Active,1532.09,Low,510,TRUE,2020-06
POL000010,CUS002877,AGT0168,Health,21-08-2024,21-08-2025,6110.3,Monthly,56000,Active,1356.25,Medium,686,TRUE,2024-08
POL000011,CUS007943,AGT0095,Auto,06-09-2024,06-09-2025,2734.6,Annual,37000,Active,443.39,Low,648,TRUE,2024-09
POL000012,CUS002021,AGT0078,Health,22-11-2021,22-11-2022,2592.89,Monthly,63000,Expired,1180.15,Medium,311,TRUE,2021-11
POL000013,CUS003658,AGT0050,Travel,02-03-2022,02-03-2023,244.74,Quarterly,34000,Active,1367.17,High,422,TRUE,2022-03
POL000014,CUS006486,AGT0054,Travel,16-05-2022,16-05-2023,408.54,Monthly,40000,Active,962.9,Medium,658,TRUE,2022-05
POL000015,CUS002925,AGT0135,Home,09-01-2023,09-01-2024,1544.47,Quarterly,543000,Expired,9201.09,Low,583,FALSE,2023-01
POL000016,CUS008160,AGT0166,Life,07-05-2021,07-05-2022,745.22,Monthly,947000,Canceled,15276.03,High,320,FALSE,2021-05
POL000017,CUS005650,AGT0143,Life,12-06-2022,12-06-2023,368.71,Annual,91000,Active,1997.71,Medium,456,TRUE,2022-06
POL000018,CUS007091,AGT0026,Life,13-03-2022,13-03-2023,672.35,Monthly,291000,Active,10766.95,Low,592,TRUE,2022-03
POL000019,CUS002170,AGT0051,Life,06-12-2020,06-12-2021,963.72,Monthly,427000,Active,16605.56,Medium,432,TRUE,2020-12
POL000020,CUS003803,AGT0146,Auto,25-11-2020,25-11-2021,549.57,Monthly,481000,Expired,8307.06,Low,736,TRUE,2020-11
POL000021,CUS005336,AGT0145,Life,23-10-2021,23-10-2022,443.16,Quarterly,647000,Active,32341.4,Medium,361,FALSE,2021-10
POL000022,CUS005358,AGT0064,Auto,07-01-2021,07-01-2022,561.72,Monthly,142000,Canceled,3802.31,Medium,760,FALSE,2021-01
POL000023,CUS005700,AGT0002,Auto,20-05-2020,20-05-2021,2606.91,Quarterly,61000,Canceled,1979.12,Medium,668,TRUE,2020-05
POL000024,CUS005996,AGT0011,Home,21-03-2021,21-03-2022,3931.13,Monthly,529000,Active,25753.99,Medium,642,FALSE,2021-03
POL000025,CUS006144,AGT0031,Life,16-04-2023,15-04-2024,860.58,Monthly,1873000,Canceled,56128.45,Low,576,FALSE,2023-04
POL000026,CUS007571,AGT0183,Auto,08-01-2024,07-01-2025,917.51,Monthly,467000,Expired,7422.02,High,681,TRUE,2024-01
POL000027,CUS007368,AGT0182,Home,23-11-2023,22-11-2024,4064.19,Monthly,557000,Active,7442.41,Medium,727,FALSE,2023-11
POL000028,CUS009748,AGT0083,Health,28-02-2024,27-02-2025,1024.76,Quarterly,66000,Active,3138.44,Medium,304,FALSE,2024-02
POL000029,CUS003061,AGT0158,Home,16-03-2022,16-03-2023,1943.7,Monthly,368000,Active,8958.21,High,698,FALSE,2022-03
POL000030,CUS003485,AGT0164,Travel,27-07-2021,27-07-2022,932.96,Quarterly,32000,Active,1278.04,Medium,453,TRUE,2021-07
POL000031,CUS008663,AGT0156,Travel,02-05-2023,01-05-2024,387.27,Quarterly,42000,Expired,966.04,High,808,TRUE,2023-05
POL000032,CUS002359,AGT0139,Life,17-11-2021,17-11-2022,663.97,Quarterly,831000,Active,38006.36,Low,756,FALSE,2021-11
POL000033,CUS004695,AGT0002,Auto,23-04-2020,23-04-2021,335.34,Quarterly,356000,Active,4289.86,Low,390,FALSE,2020-04
POL000034,CUS004389,AGT0061,Life,09-04-2024,09-04-2025,737.71,Quarterly,204000,Active,8159.16,Low,543,FALSE,2024-04
POL000035,CUS008868,AGT0124,Home,29-05-2021,29-05-2022,191.23,Quarterly,771000,Active,10520.5,Low,344,TRUE,2021-05
POL000036,CUS006546,AGT0107,Home,28-05-2021,28-05-2022,1290.51,Quarterly,697000,Active,19617.73,Low,337,TRUE,2021-05
POL000037,CUS009525,AGT0155,Health,21-09-2021,21-09-2022,4938.69,Annual,48000,Active,1380.25,High,372,TRUE,2021-09
POL000038,CUS006760,AGT0047,Auto,29-03-2023,28-03-2024,478.92,Monthly,49000,Expired,884.55,Medium,381,FALSE,2023-03
POL000039,CUS001122,AGT0022,Health,13-06-2021,13-06-2022,3771.41,Monthly,90000,Active,2328.32,High,314,TRUE,2021-06
POL000040,CUS005408,AGT0021,Life,17-08-2020,17-08-2021,749.18,Quarterly,489000,Active,16732.27,Low,453,FALSE,2020-08
POL000041,CUS009685,AGT0137,Travel,02-08-2022,02-08-2023,106.05,Monthly,28000,Active,1272.76,Low,303,FALSE,2022-08
POL000042,CUS003087,AGT0148,Life,21-08-2023,20-08-2024,2091.55,Monthly,939000,Active,12482.38,Medium,557,FALSE,2023-08
POL000043,CUS004519,AGT0047,Home,30-08-2024,30-08-2025,757.99,Quarterly,980000,Active,44942.24,Medium,547,TRUE,2024-08
POL000044,CUS009340,AGT0117,Life,12-10-2022,12-10-2023,254.21,Monthly,1976000,Active,53059.93,Low,827,TRUE,2022-10
POL000045,CUS002437,AGT0169,Health,17-04-2024,17-04-2025,3923.25,Quarterly,13000,Expired,341.22,Low,420,FALSE,2024-04
POL000046,CUS002576,AGT0142,Health,13-12-2021,13-12-2022,3418.17,Annual,24000,Active,747.71,Medium,722,TRUE,2021-12
POL000047,CUS000584,AGT0021,Home,18-07-2024,18-07-2025,2014.37,Monthly,869000,Active,24674.59,Medium,552,TRUE,2024-07
POL000048,CUS001620,AGT0053,Travel,11-10-2023,10-10-2024,317.69,Annual,24000,Active,295.62,Medium,414,FALSE,2023-10
POL000049,CUS000264,AGT0179,Life,04-05-2022,04-05-2023,1450.11,Monthly,806000,Active,10543.65,Low,440,TRUE,2022-05
POL000050,CUS000664,AGT0104,Travel,23-04-2021,23-04-2022,346.01,Monthly,24000,Active,1102.31,Low,607,TRUE,2021-04
POL000051,CUS005706,AGT0139,Life,20-05-2021,20-05-2022,1419.24,Monthly,1075000,Active,22575.75,Medium,746,TRUE,2021-05
POL000052,CUS003919,AGT0112,Health,05-10-2023,04-10-2024,3561,Monthly,63000,Active,1942.72,Low,797,FALSE,2023-10
POL000053,CUS008110,AGT0091,Life,18-09-2021,18-09-2022,501.21,Quarterly,591000,Active,7516.83,Low,686,TRUE,2021-09
POL000054,CUS000044,AGT0091,Health,24-10-2023,23-10-2024,3494.05,Monthly,64000,Active,2014.93,Low,340,TRUE,2023-10
POL000055,CUS000151,AGT0018,Auto,04-04-2021,04-04-2022,391.59,Quarterly,322000,Active,16021.2,Low,803,FALSE,2021-04
