SalesID,AgentID,YearMonth,NumPoliciesSold,TotalPremiumAmount,TargetAmount,Achievement,Commissions,LeadCount,ConversionRate,CustomerMeetings,SalesActivityScore
SLS000000,AGT0000,2019-01,0,0.0,77495,0.0,0.0,83,0.31,6,99.33
SLS000001,AGT0000,2019-02,0,0.0,128962,0.0,0.0,69,0.15,23,64.69
SLS000002,AGT0000,2019-03,0,0.0,184101,0.0,0.0,96,0.19,15,60.84
SLS000003,AGT0000,2019-04,0,0.0,181247,0.0,0.0,78,0.28,17,66.9
SLS000004,AGT0000,2019-05,0,0.0,144019,0.0,0.0,60,0.26,19,88.5
SLS000005,AGT0000,2019-06,0,0.0,176265,0.0,0.0,84,0.27,24,84.8
SLS000006,AGT0000,2019-07,0,0.0,55606,0.0,0.0,26,0.3,9,72.3
SLS000007,AGT0000,2019-08,0,0.0,53570,0.0,0.0,28,0.18,22,92.83
SLS000008,AGT0000,2019-09,0,0.0,124983,0.0,0.0,52,0.28,17,98.98
SLS000009,AGT0000,2019-10,0,0.0,125087,0.0,0.0,46,0.13,19,90.16
SLS000010,AGT0000,2019-11,0,0.0,119021,0.0,0.0,51,0.14,29,96.74
SLS000011,AGT0000,2019-12,0,0.0,84514,0.0,0.0,11,0.28,9,78.5
SLS000012,AGT0000,2020-01,0,0.0,127264,0.0,0.0,79,0.29,12,92.63
SLS000013,AGT0000,2020-02,2,8728.95,136187,6.41,936.11,34,0.33,10,96.89
SLS000014,AGT0000,2020-03,1,660.83,128984,0.51,65.58,86,0.2,5,61.26
SLS000015,AGT0000,2020-04,1,327.05,78727,0.42,34.91,56,0.38,7,81.53
SLS000016,AGT0000,2020-05,1,2040.42,179550,1.14,230.35,25,0.39,20,99.86
SLS000017,AGT0000,2020-06,1,397.51,80336,0.49,33.97,12,0.1,26,67.75
SLS000018,AGT0000,2020-07,0,0.0,57171,0.0,0.0,48,0.35,14,92.28
SLS000019,AGT0000,2020-08,0,0.0,179324,0.0,0.0,70,0.27,7,78.55
SLS000020,AGT0000,2020-09,3,2689.9,92894,2.9,332.15,72,0.36,19,81.29
SLS000021,AGT0000,2020-10,1,842.44,84949,0.99,51.57,63,0.4,23,97.37
SLS000022,AGT0000,2020-11,0,0.0,57330,0.0,0.0,22,0.35,26,73.11
SLS000023,AGT0000,2020-12,0,0.0,182997,0.0,0.0,48,0.28,25,93.03
SLS000024,AGT0000,2021-01,2,18156.98,50350,36.06,1679.35,34,0.21,22,67.33
